"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000000000","1913","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.7","","       0.7","E","         0","E","        25","E","         0","E","        24","E","         0","E","   -4.6","E,1231, ","   26.0","E,0615, ","-0.9","E,1123","-4.6","E,1231","-4.6","E,1231","","","","","-0.6","E,0413","-3.4","E,0318","-4.4","E,0113","","","","","    3242.2","2","    3242.2","E","      9.79","E","     13.43","E","      6.15","E"
"UK000000000","1914","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      9.5","","       9.5","E","         0","E","        37","E","         0","E","        45","E","         0","E","   -5.2","E,0124, ","   28.7","E,0629, ","-1.2","E,1115","-2.4","E,1118","","","","","","","-0.3","E,0415","-5.2","E,0124","-5.2","E,0124","","","","","    3012.5","5","    3012.5","E","      9.89","E","     13.86","E","      5.92","E"
"UK000000000","1915","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.9","","       0.9","E","         0","E","        54","E","         0","E","        31","E","         0","E","   -6.4","E,1127, ","   25.8","E,0607, ","-0.2","E,1030","-3.9","E,1115","-5.1","E,1117","","","","","0.0","E,0515","-3.8","E,0330","","","","","","","    3182.9","9","    3182.9","E","      8.94","E","     12.88","E","      5.01","E"
"UK000000000","1916","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      2.0","","       2.0","E","         0","E","        60","E","         0","E","        32","E","         0","E","   -5.4","E,1216, ","   25.9","E,0731, ","-0.5","E,1022","-3.2","E,1128","-5.4","E,1216","","","","","-0.8","E,0408","-2.5","E,0324","","","","","","","    3404.2","2","    3404.2","E","      9.19","E","     12.88","E","      5.51","E"
"UK000000000","1917","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      5.9","","       5.9","E","         0","E","        93","E","         7","E","        39","E","         0","E","  -11.8","E,0207, ","   28.3","E,0616, ","-1.6","E,1015","-2.6","E,1028","-5.8","E,1219","","","","","-0.5","E,0507","-4.1","E,0403","-5.1","E,0402","-7.6","E,0309","-9.0","E,0208","    3491.7","7","    3491.7","E","      8.48","E","     12.19","E","      4.77","E"
"UK000000000","1918","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      6.1","","       6.1","E","         0","E","        35","E","         1","E","        34","E","         0","E","   -6.6","E,0109, ","   26.7","E,0821,+","-1.3","E,1107","-2.9","E,1114","","","","","","","-0.9","E,0420","-2.9","E,0218","-4.4","E,0117","","","","","    3259.3","3","    3259.3","E","      9.50","E","     13.33","E","      5.67","E"
"UK000000000","1919","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      4.2","","       4.2","E","         0","E","        64","E","         0","E","        41","E","         0","E","   -7.9","E,0209, ","   27.5","E,0910, ","-1.3","E,1015","-5.2","E,1112","-5.2","E,1112","","","","","-0.5","E,0427","-2.3","E,0330","-6.3","E,0213","-7.9","E,0209","","","    3320.8","8","    3320.8","E","      8.47","E","     12.30","E","      4.64","E"
"UK000000000","1920","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.0","","       0.0","E","         0","E","        28","E","         0","E","         9","E","         0","E","   -8.3","E,1213, ","   25.4","E,0524, ","-1.3","E,1106","-2.4","E,1121","-4.4","E,1122","-8.3","E,1213","","","-2.1","E,0309","-2.7","E,0308","-5.7","E,0107","","","","","    3252.8","8","    3252.8","E","      9.60","E","     13.20","E","      6.00","E"
"UK000000000","1921","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     36.9","","      36.9","E","         0","E","        33","E","         0","E","        57","E","         0","E","   -5.5","E,1109, ","   30.3","E,0709, ","-1.1","E,1107","-2.3","E,1108","-5.5","E,1109","","","","","-0.4","E,0505","-2.5","E,0115","","","","","","","    3059.0","0","    3059.0","E","     10.47","E","     14.63","E","      6.31","E"
"UK000000000","1922","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      2.5","","       2.5","E","         0","E","        45","E","         0","E","        17","E","         0","E","   -6.2","E,0206, ","   26.8","E,0531, ","-1.2","E,1026","-2.8","E,1125","","","","","","","-0.7","E,0429","-3.4","E,0402","-6.2","E,0206","","","","","    2995.1","1","    2995.1","E","      8.65","E","     12.21","E","      5.09","E"
