"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003808","2011","50.2167","-5.3167","88.0","CAMBORNE, UK","      1.3","","       1.3","E","       184","E","       104","E","         3","E","        0","","         0","E","        11","E","         0","E","         9","E","         0","E","   -3.5","E,0130, ","     0"," ,E,1231,+","  33.4"," ,E,1024, ","   23.8","E,0930, ","","","","","","","-0.3","E,0308","-3.5","E,0130","","","","","","","    2707.3","3","    2707.3","E","    862.8"," ,E","     11.44","E","     13.93","E","      8.96","E"
"UK000003808","2012","50.2167","-5.3167","88.0","CAMBORNE, UK","      1.8","","       1.8","E","       223","E","       128","E","         6","E","        0","","         0","E","         7","E","         0","E","         8","E","         0","E","   -4.1","E,0202, ","     0"," ,E,1231,+","  42.2"," ,E,1124, ","   23.7","E,0524, ","","","","","","","-0.5","E,0210","-2.7","E,0209","","","","","","","    2466.7","7","    2466.7","E","   1327.8"," ,E","     10.92","E","     13.33","E","      8.51","E"
"UK000003808","2013","50.2167","-5.3167","88.0","CAMBORNE, UK","     11.5","","      11.5","E","       185","E","       110","E","         6","E","        0","","         0","E","        14","E","         0","E","        16","E","         0","E","   -2.4","E,0312, ","    10"," ,E,0121, ","  44.6"," ,E,0804, ","   26.5","E,0717, ","","","","","","","0.0","E,0406","-2.3","E,0403","","","","","","","    2831.9","9","    2831.9","E","   1070.6"," ,E","     10.76","E","     13.24","E","      8.27","E"
"UK000003808","2014","50.2167","-5.3167","88.0","CAMBORNE, UK","     11.3","","      11.3","E","       199","E","       124","E","         1","E","        0","","         0","E","         1","E","         0","E","        14","E","         0","E","   -0.7","E,1229, ","     0"," ,E,1231,+","  32.2"," ,E,1005, ","   26.3","E,0724, ","-0.7","E,1229","","","","","","","","","","","","","","","    2456.3","3","    2456.3","E","   1161.8"," ,E","     11.64","E","     14.28","E","      8.99","E"
"UK000003808","2015","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.0","","       0.0","E","       199","E","       119","E","         4","E","        0","","         0","E","         4","E","         0","E","         2","E","         0","E","   -1.3","E,0206, ","     0"," ,E,1231,+","  34.4"," ,E,0813, ","   24.2","E,0629, ","","","","","","","-0.6","E,0208","","","","","","","","","    2499.2","2","    2499.2","E","   1084.8"," ,E","     11.27","E","     13.74","E","      8.79","E"
"UK000003808","2016","50.2167","-5.3167","88.0","CAMBORNE, UK","      5.7","","       5.7","E","       196","E","       105","E","         4","E","        0","","         0","E","         0","E","         0","E","        12","E","         0","E","    0.8","E,0216, ","     0"," ,E,1231,+","  45.4"," ,E,0913, ","   26.4","E,0718, ","","","","","","","","","","","","","","","","","    2455.6","6","    2455.6","E","   1147.3"," ,E","     11.32","E","     13.80","E","      8.84","E"
"UK000003808","2017","50.2167","-5.3167","88.0","CAMBORNE, UK","      8.3","","       8.3","E","       194","E","       108","E","         3","E","        0","","         0","E","         3","E","         0","E","        11","E","         0","E","   -0.9","E,0211, ","     0"," ,E,1231,+","  32.2"," ,E,0720, ","   27.7","E,0619, ","","","","","","","-0.1","E,0212","","","","","","","","","    2379.5","5","    2379.5","E","   1005.0"," ,E","     11.52","E","     13.95","E","      9.09","E"
"UK000003808","2018","50.2167","-5.3167","88.0","CAMBORNE, UK","     17.5","","      17.5","E","       189","E","       115","E","         5","E","        2","","         0","E","        10","E","         1","E","        31","E","         0","E","   -5.2","E,0301, ","    50"," ,E,0301, ","  35.8"," ,E,1109, ","   26.6","E,0701, ","-0.7","E,1121","","","","","-1.5","E,0320","-3.7","E,0318","-4.7","E,0302","","","","","    2514.8","8","    2514.8","E","   1197.0"," ,E","     11.54","E","     14.31","E","      8.77","E"
"UK000003808","2019","50.2167","-5.3167","88.0","CAMBORNE, UK","      4.4","","       4.4","E","       202","E","       128","E","         8","E","        0","","         0","E","         1","E","         0","E","        20","E","         0","E","   -1.1","E,0201, ","     0"," ,E,1231,+","  38.2"," ,E,1025, ","   24.1","E,0823, ","","","","","","","-1.1","E,0201","","","","","","","","","    2329.3","3","    2329.3","E","   1258.0"," ,E","     11.53","E","     14.01","E","      9.06","E"
"UK000003808","2020","50.2167","-5.3167","88.0","CAMBORNE, UK","      5.1","","       5.1","E","       216","E","       127","E","         5","E","        0","","         0","E","         0","E","         0","E","        18","E","         0","E","    0.7","E,0122, ","     0"," ,E,1231,+","  33.6"," ,E,0610, ","   25.5","E,0624, ","","","","","","","","","","","","","","","","","    2372.2","2","    2372.2","E","   1179.8"," ,E","     11.54","E","     14.21","E","      8.88","E"
"UK000003808","2021","50.2167","-5.3167","88.0","CAMBORNE, UK","     21.7","","      21.7","E","       175","E","       105","E","         6","E","        0","","         0","E","        12","E","         0","E","        13","E","         0","E","   -1.5","E,0110, ","     0"," ,E,1231,+","  41.8"," ,E,0627, ","   28.3","E,0720, ","","","","","","","-0.3","E,0308","","","","","","","","","    2641.9","9","    2641.9","E","   1049.4"," ,E","     11.29","E","     13.90","E","      8.68","E"
"UK000003808","2022","50.2167","-5.3167","88.0","CAMBORNE, UK","     25.9","","      25.9","E","       186","E","       108","E","         2","E","","","         0","E","         7","E","         0","E","        30","E","         0","E","   -2.1","E,1215, ","","","  26.2"," ,E,1227, ","   30.4","E,0717, ","0.0","E,1208","","","","","-0.6","E,0121","","","","","","","","","    2307.0","0","    2307.0","E","    995.8"," ,E","     12.00","E","     14.79","E","      9.22","E"
"UK000003808","2023","50.2167","-5.3167","88.0","CAMBORNE, UK","     22.6","","      22.6","S","       206","S","       118","S","         2","S","","","         0","S","         7","S","         0","S","        18","S","         0","S","   -1.3","S,1202, ","","","  25.8"," ,S,0113, ","   27.1","S,0905, ","-0.7","S,1201","","","","","0.0","E,0303","","","","","","","","","    2271.2","2","    2271.2","S","   1176.3"," ,S","     12.12","S","     14.60","S","      9.64","S"
