"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003005","1963","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       192","I","       108","I","         4","I","","","         0","G","        49","G","         5","G","         0","G","         0","G","   -6.7","G,0112, ","","","  45.0"," ,I,1114, ","   19.6","G,0802, ","-0.5","G,1110","-3.2","G,1118","-5.7","G,1221","","","-0.5","G,0413","-2.3","G,0222","-6.7","G,0112","-6.7","G,0112","","","    4187.0","0","    4187.0","G","    974.0"," ,I","      6.69","G","      8.88","G","      4.50","G"
"UK000003005","1964","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       222","I","       129","I","         1","I","","","         0","G","        37","G","         0","G","         0","G","         0","G","   -4.8","G,1226, ","","","  36.0"," ,I,0507, ","   17.0","G,0715, ","-0.4","G,1024","-2.2","G,1025","-4.8","G,1226","","","0.0","G,0407","-2.9","G,0206","","","","","","","    3887.3","3","    3887.3","G","   1242.0"," ,I","      7.09","G","      9.42","G","      4.77","G"
"UK000003005","1965","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       218","I","       121","I","         3","I","","","         0","G","        65","G","         2","G","         0","G","         0","G","   -8.0","G,1229, ","","","  32.0"," ,I,1128, ","   19.2","G,0722, ","-1.9","G,1114","-2.2","G,1121","-5.6","G,1123","-8.0","G,1229","-1.3","G,0421","-4.1","G,0324","-4.8","G,0323","","","","","    4164.9","9","    4164.9","G","   1142.0"," ,I","      6.41","G","      8.61","G","      4.19","G"
"UK000003005","1966","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       231","I","       138","I","         3","I","","","         0","G","        63","G","         1","G","         0","G","         0","G","   -5.7","G,0210, ","","","  50.0"," ,I,0522, ","   19.0","G,0613, ","-0.1","G,1110","-3.3","G,1111","","","","","-2.0","G,0417","-2.8","G,0416","-5.0","G,0401","","","","","    4272.7","7","    4272.7","G","   1207.0"," ,I","      6.65","G","      8.90","G","      4.40","G"
"UK000003005","1967","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       251","I","       168","I","         2","I","","","         0","G","        44","G","         1","G","         0","G","         0","G","   -3.9","G,0401, ","","","  45.0"," ,I,0901, ","   17.0","G,0823, ","-0.3","G,1016","-2.7","G,1207","","","","","-1.5","G,0518","-2.7","G,0418","","","","","","","    4044.1","1","    4044.1","G","   1500.0"," ,I","      7.11","G","      9.30","G","      4.91","G"
"UK000003005","1968","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       198","I","       123","I","         2","I","","","         0","G","        67","G","         4","G","         0","G","         0","G","   -6.0","G,0105, ","","","  31.0"," ,I,0927, ","   17.0","G,0803, ","-0.8","G,1101","-5.4","G,1219","-5.4","G,1219","","","0.0","G,0509","-3.2","G,0408","-5.7","G,0407","","","","","    4211.1","1","    4211.1","G","   1008.0"," ,I","      6.70","G","      9.07","G","      4.33","G"
"UK000003005","1969","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       238","I","       149","I","         3","I","","","         0","G","        71","G","         9","G","         0","G","         0","G","   -7.2","G,0312, ","","","  33.0"," ,I,0921, ","   18.5","G,0801, ","-1.0","G,1002","-3.4","G,1117","-4.7","G,1205","","","-1.0","G,0418","-2.8","G,0313","-7.2","G,0312","-7.2","G,0312","","","    4044.2","2","    4044.2","G","   1238.0"," ,I","      6.56","G","      8.89","G","      4.24","G"
"UK000003005","1970","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       229","I","       138","I","         5","I","","","         0","G","        63","G","         2","G","         0","G","         0","G","   -6.8","G,0212, ","","","  38.0"," ,I,0907, ","   18.6","G,0805, ","-1.7","G,1027","-2.2","G,1221","","","","","-1.0","G,0429","-2.9","G,0402","-5.3","G,0327","-6.7","G,0214","","","    4045.4","4","    4045.4","G","   1306.0"," ,I","      6.59","G","      8.90","G","      4.28","G"
"UK000003005","1971","60.1331","-1.1831","82.0","LERWICK, UK","","","","","       230","I","       142","I","         4","I","","","         0","G","        36","G","         0","G","         1","G","         0","G","   -5.0","G,0201, ","","","  40.0"," ,I,1104, ","   21.2","G,0708, ","-1.4","G,1013","-3.9","G,1117","-4.5","G,1118","","","-0.4","G,0427","-2.3","G,0417","-5.0","G,0201","","","","","    3957.7","7","    3957.7","G","   1252.0"," ,I","      7.36","G","      9.79","G","      4.93","G"
"UK000003005","1972","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       215","I","       120","I","         2","I","","","         0","G","        12","G","         0","G","         0","G","         0","G","   -2.5","G,1118,+","","","  30.0"," ,I,0429, ","   20.6","G,0716, ","-0.4","G,1113","-2.5","G,1118","","","","","-0.4","G,0328","-2.5","G,0131","","","","","","","","","","","   1066.0"," ,I","      7.32","G","      9.50","G","      5.14","G"
