"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00107640","1993","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       244","E","       147","E","         2","E","        0","","         0","E","        10","E","         0","E","         0","E","         0","E","   -1.7","E,0301, ","     0"," ,E,1231,+","  31.6"," ,E,0403, ","   20.0","E,0523, ","-0.8","E,1212","","","","","","","-0.9","E,0303","","","","","    3283.6","6","    3283.6","E","   1274.5"," ,E","      8.90","E","     11.29","E","      6.50","E"
"UKE00107640","1994","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       245","E","       160","E","         0","E","        0","","         0","E","         3","E","         0","E","         1","E","         0","E","   -1.2","E,0225, ","     0"," ,E,1231,+","  24.4"," ,E,1207,+","   21.7","E,0511, ","","","","","","","","","-0.2","E,0317","","","","","    3528.4","4","    3528.4","E","   1350.8"," ,E","      9.09","E","     11.58","E","      6.60","E"
"UKE00107640","1995","56.4967","-6.8867","9.0","TIREE, UK","      1.5","","       1.5","E","       224","E","       133","E","         3","E","        0","","         0","E","        19","E","         0","E","         9","E","         0","E","   -4.2","E,1228, ","    10"," ,E,1226, ","  30.9"," ,E,0930, ","   24.4","E,0731, ","-1.4","E,1215","-2.9","E,1221","","","","","-3.2","E,0329","-3.2","E,0329","","","    3191.6","6","    3191.6","E","   1170.6"," ,E","      9.31","E","     11.95","E","      6.66","E"
"UKE00107640","1996","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       210","E","       129","E","         3","E","        0","","         0","E","        26","E","         0","E","         0","E","         0","E","   -3.1","E,0203, ","    10"," ,E,0208, ","  45.9"," ,E,0805, ","   19.5","E,0902, ","0.0","E,1118","-2.5","E,1222","","","","","-1.3","E,0330","-2.2","E,0204","","","    3182.7","7","    3182.7","E","   1253.8"," ,E","      8.84","E","     11.26","E","      6.42","E"
"UKE00107640","1997","56.4967","-6.8867","9.0","TIREE, UK","      0.5","","       0.5","E","       211","E","       121","E","         1","E","        0","","         0","E","         8","E","         0","E","         3","E","         0","E","   -4.0","E,0101, ","     0"," ,E,1231,+","  36.4"," ,E,0831, ","   22.5","E,0810, ","-0.1","E,1201","","","","","","","-0.6","E,0131","-3.1","E,0105","","","    3214.0","0","    3214.0","E","   1104.8"," ,E","      9.89","E","     12.39","E","      7.39","E"
"UKE00107640","1998","56.4967","-6.8867","9.0","TIREE, UK","","","","","       244","E","       142","E","         3","E","        0","","         0","E","         6","E","         0","E","         0","E","         0","E","   -3.5","E,0410, ","     0"," ,E,1231,+","  49.1"," ,E,0109, ","   18.9","E,0906,+","-0.3","E,1116","","","","","","","0.0","E,0414","-3.5","E,0410","","","","","","","   1334.0"," ,E","      9.50","E","     11.98","E","      7.03","E"
"UKE00107640","1999","56.4967","-6.8867","9.0","TIREE, UK","      1.1","","       1.1","E","","","","","","","        0","","         0","E","        10","E","         0","E","         4","E","         0","E","   -1.2","E,0222, ","     0"," ,E,1231,+","","","   23.8","E,0803, ","","","","","","","","","-0.8","E,0416","","","","","    3224.2","2","    3224.2","E","","","      9.43","E","     11.83","E","      7.02","E"
"UKE00107640","2000","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       241","E","       151","E","         1","E","        6","","         0","E","         9","E","         0","E","         1","E","         0","E","   -2.5","E,1228, ","   100"," ,E,1228, ","  25.4"," ,E,0131, ","   21.4","E,0721, ","0.0","E,1225","-2.5","E,1228","","","","","-0.1","E,0304","","","","","    3159.8","8","    3159.8","E","   1281.4"," ,E","      9.47","E","     11.88","E","      7.07","E"
"UKE00107640","2001","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       222","E","       108","E","         2","E","","","         0","E","        18","E","         0","E","         0","E","         0","E","   -2.4","E,0301, ","","","  43.0"," ,E,1029, ","   19.8","E,0512, ","-1.1","E,1229","","","","","","","-0.6","E,0320","-2.4","E,0301","","","    3271.7","7","    3271.7","E","    974.9"," ,E","      9.24","E","     11.73","E","      6.76","E"
"UKE00107640","2002","56.4967","-6.8867","9.0","TIREE, UK","      0.2","","       0.2","E","","","","","","","","","         0","E","         4","E","         0","E","         2","E","         0","E","   -1.0","E,0125, ","","","","","   23.8","E,0731, ","-0.5","E,1117","","","","","","","-0.2","E,0223","","","","","    2968.9","9","    2968.9","E","","","      9.79","E","     12.08","E","      7.51","E"
