"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105918","1991","51.3458","1.34","49.0","MANSTON, UK","     26.3","","      26.3","E","       129","E","        61","E","         1","E","        6","","         0","E","        31","E","         4","E","        55","E","         0","E","   -8.3","E,0207, ","    90"," ,E,0210, ","  26.7"," ,E,0429, ","   26.9","E,0809, ","-1.0","E,1110","-3.5","E,1207","","","","","-1.5","E,0421","-2.6","E,0302","-5.3","E,0219","-7.1","E,0211","","","    2867.3","3","    2867.3","E","    486.9"," ,E","     10.08","E","     13.50","E","      6.67","E"
"UKE00105918","1992","51.3458","1.34","49.0","MANSTON, UK","     24.9","","      24.9","E","       139","E","        67","E","         1","E","        0","","         0","E","        29","E","         0","E","        53","E","         0","E","   -6.0","E,0125, ","     0"," ,E,1231,+","  28.4"," ,E,0720, ","   28.4","E,0628, ","-0.4","E,1016","-3.6","E,1230","-4.5","E,1231","","","-1.0","E,0309","-2.4","E,0221","-5.1","E,0219","","","","","    2664.9","9","    2664.9","E","    578.7"," ,E","     10.55","E","     14.06","E","      7.05","E"
"UKE00105918","1993","51.3458","1.34","49.0","MANSTON, UK","     10.4","","      10.4","E","       145","E","        76","E","         1","E","        1","","         0","E","        29","E","         0","E","        33","E","         0","E","   -6.0","E,1124, ","    40"," ,E,1122, ","  31.3"," ,E,1011, ","   27.4","E,0703, ","-1.9","E,1122","-6.0","E,1124","-6.0","E,1124","","","-4.5","E,0327","-4.5","E,0327","-4.5","E,0327","","","","","    2791.9","9","    2791.9","E","    629.9"," ,E","     10.24","E","     13.63","E","      6.85","E"
"UKE00105918","1994","51.3458","1.34","49.0","MANSTON, UK","     68.5","","      68.5","E","       139","E","        76","E","         1","E","        0","","         0","E","        26","E","         0","E","        60","E","         0","E","   -5.7","E,0214, ","     0"," ,E,1231,+","  30.6"," ,E,0831, ","   30.5","E,0711, ","-0.2","E,1216","-3.6","E,1223","-4.4","E,1225","","","-0.1","E,0409","-2.5","E,0222","-5.4","E,0215","","","","","    2921.1","1","    2921.1","E","    570.4"," ,E","     10.97","E","     14.61","E","      7.33","E"
"UKE00105918","1995","51.3458","1.34","49.0","MANSTON, UK","    114.0","","     114.0","E","       139","E","        60","E","         1","E","        0","","         0","E","        35","E","         0","E","        66","E","         0","E","   -4.2","E,0304, ","    10"," ,E,1207,+","  25.6"," ,E,1219, ","   31.2","E,0811, ","-1.7","E,1106","-2.5","E,1206","","","","","-0.4","E,0421","-2.5","E,0328","","","","","","","    2539.2","2","    2539.2","E","    490.2"," ,E","     11.15","E","     14.85","E","      7.46","E"
"UKE00105918","1996","51.3458","1.34","49.0","MANSTON, UK","     30.0","","      30.0","E","       121","E","        45","E","         1","E","        1","","         0","E","        50","E","         2","E","        48","E","         0","E","   -5.2","E,0207, ","    30"," ,E,0127, ","  30.7"," ,E,0828, ","   31.0","E,0606, ","-0.1","E,1116","-2.8","E,1119","","","","","-1.5","E,0401","-4.5","E,0328","-4.5","E,0328","","","","","    2878.3","3","    2878.3","E","    424.8"," ,E","      9.71","E","     13.16","E","      6.26","E"
"UKE00105918","1997","51.3458","1.34","49.0","MANSTON, UK","     88.5","","      88.5","E","       130","E","        61","E","         1","E","        1","","         0","E","        28","E","         5","E","        68","E","         0","E","   -4.4","E,0102, ","    30"," ,E,0109, ","  30.9"," ,E,1218, ","   30.1","E,0822, ","-2.4","E,1029","-2.4","E,1029","","","","","-1.1","E,0507","-2.4","E,0421","-4.4","E,0102","","","","","    2840.3","3","    2840.3","E","    478.9"," ,E","     11.08","E","     14.82","E","      7.35","E"
"UKE00105918","1998","51.3458","1.34","49.0","MANSTON, UK","     30.3","","      30.3","E","       152","E","        62","E","         1","E","        0","","         0","E","        25","E","         0","E","        41","E","         0","E","   -5.5","E,0202, ","     0"," ,E,1231,+","  25.6"," ,E,1113, ","   31.2","E,0809, ","-0.6","E,1118","-3.1","E,1123","","","","","-1.0","E,0414","-3.6","E,0204","-5.5","E,0202","","","","","    2530.3","3","    2530.3","E","    573.9"," ,E","     10.93","E","     14.37","E","      7.49","E"
"UKE00105918","1999","51.3458","1.34","49.0","MANSTON, UK","     48.6","","      48.6","E","       151","E","        64","E","         0","E","        0","","         0","E","        16","E","         0","E","        57","E","         0","E","   -6.1","E,0214, ","     0"," ,E,1231,+","  24.2"," ,E,0817, ","   29.1","E,0801, ","-2.0","E,1220","","","","","","","-1.8","E,0415","-6.1","E,0214","-6.1","E,0214","","","","","    2608.4","4","    2608.4","E","    569.3"," ,E","     11.36","E","     14.66","E","      8.07","E"
"UKE00105918","2000","51.3458","1.34","49.0","MANSTON, UK","     23.7","","      23.7","E","       173","E","        82","E","         1","E","","","         0","E","        17","E","         0","E","        49","E","         0","E","   -4.2","E,1229, ","","","  34.8"," ,E,0403, ","   29.1","E,0618, ","-2.4","E,1228","-2.4","E,1228","","","","","-0.2","E,0411","-3.0","E,0222","","","","","","","    2535.1","1","    2535.1","E","    795.3"," ,E","     11.04","E","     14.25","E","      7.82","E"
