"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105871","1994","50.2917","-3.6508","32.0","SLAPTON, UK","      7.1","","       7.1","E","       204","E","       127","E","         4","E","         0","E","        12","E","         0","E","        27","E","         0","E","   -2.9","E,0215, ","  49.7"," ,E,1030, ","   24.9","E,0711, ","-0.1","E,1222","","","","","-1.6","E,0216","-2.9","E,0215","","","","","","","","","   1339.0"," ,E","     11.34","E","     14.46","E","      8.22","E"
"UKE00105871","1995","50.2917","-3.6508","32.0","SLAPTON, UK","     58.0","","      58.0","E","       163","E","       104","E","         6","E","         0","E","        16","E","         0","E","        55","E","         0","E","   -3.3","E,1227, ","  71.0"," ,E,0709, ","   27.5","E,0818, ","-1.6","E,1119","-3.3","E,1227","","","-1.2","E,0309","","","","","","","    2453.3","3","    2453.3","E","   1219.0"," ,E","     11.69","E","     15.18","E","      8.20","E"
"UKE00105871","1996","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       160","E","       106","E","         1","E","         0","E","        27","E","         1","E","        22","E","         0","E","   -3.7","E,0128, ","  27.6"," ,E,1202, ","   25.4","E,0709, ","-1.1","E,1122","-2.5","E,1227","","","-0.1","E,0402","-3.7","E,0128","","","","","    2571.3","3","    2571.3","E","    976.9"," ,E","     10.32","E","     13.63","E","      7.01","E"
"UKE00105871","1997","50.2917","-3.6508","32.0","SLAPTON, UK","     18.9","","      18.9","E","       163","E","        99","E","         4","E","         0","E","         9","E","         0","E","        35","E","         0","E","   -4.3","E,0103, ","  47.3"," ,E,0303, ","   25.2","E,0816,+","","","","","","","-0.2","E,0401","-4.3","E,0103","","","","","","","","","   1005.5"," ,E","     11.54","E","     14.88","E","      8.21","E"
"UKE00105871","1998","50.2917","-3.6508","32.0","SLAPTON, UK","      3.4","","       3.4","E","       184","E","       107","E","         1","E","         0","E","        13","E","         0","E","        26","E","         0","E","   -2.6","E,1221, ","  31.2"," ,E,0104, ","   25.2","E,0810, ","0.0","E,1116","-2.6","E,1221","","","-0.5","E,0415","","","","","","","    2324.6","6","    2324.6","E","   1123.7"," ,E","     11.31","E","     14.76","E","      7.85","E"
"UKE00105871","1999","50.2917","-3.6508","32.0","SLAPTON, UK","     11.4","","      11.4","E","       176","E","       114","E","         6","E","         0","E","        17","E","         0","E","        33","E","         0","E","   -2.5","E,0112, ","  55.5"," ,E,1023, ","   26.1","E,0710, ","-0.3","E,1215","","","","","-1.0","E,0419","-2.5","E,0112","","","","","    2540.5","5","    2540.5","E","   1192.6"," ,E","     11.45","E","     14.96","E","      7.94","E"
"UKE00105871","2000","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       201","E","       118","E","         9","E","         0","E","        17","E","","","","","","","   -2.8","E,1231, ","  30.4"," ,E,1231, ","","","-1.0","E,1216","-2.5","E,1228","","","0.0","E,0405","","","","","","","","","","","   1240.7"," ,E","","","","","      7.56","E"
"UKE00105871","2001","50.2917","-3.6508","32.0","SLAPTON, UK","      6.6","","       6.6","E","       163","E","        99","E","         1","E","         0","E","        21","E","         0","E","        33","E","         0","E","   -3.6","E,1223, ","  45.8"," ,E,0320, ","   25.5","E,0728, ","-0.4","E,1110","-3.6","E,1223","","","-1.8","E,0305","-2.8","E,0225","","","","","    2627.4","4","    2627.4","E","    997.3"," ,E","     11.08","E","     14.72","E","      7.43","E"
"UKE00105871","2002","50.2917","-3.6508","32.0","SLAPTON, UK","      5.5","","       5.5","E","       191","E","       116","E","         4","E","         0","E","         3","E","         0","E","        24","E","         0","E","   -2.0","E,0111, ","  43.5"," ,E,0126, ","   24.1","E,0805,+","","","","","","","-0.3","E,0116","","","","","","","    2392.0","0","    2392.0","E","   1227.2"," ,E","     11.86","E","     15.02","E","      8.70","E"
"UKE00105871","2003","50.2917","-3.6508","32.0","SLAPTON, UK","     35.9","","      35.9","E","       154","E","        93","E","         3","E","         0","E","        10","E","         0","E","        47","E","         0","E","   -3.9","E,0112, ","  29.5"," ,E,1212, ","   28.5","E,0809, ","-0.5","E,1222","","","","","-0.4","E,0210","-2.8","E,0113","","","","","    2392.1","1","    2392.1","E","    889.6"," ,E","     11.61","E","     14.91","E","      8.32","E"
