"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105866","1996","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.4","","       0.4","E","       158","E","        90","E","         0","E","        1","","         0","E","        32","E","         0","E","        10","E","         0","E","   -4.9","E,0201, ","    40"," ,E,0206, ","  21.6"," ,E,0523, ","   25.3","E,0718, ","-1.0","E,1206","-2.5","E,1226","","","-0.1","E,0315","-3.5","E,0204","-4.9","E,0201","","","","","    2911.5","5","    2911.5","E","    692.8"," ,E","      9.18","E","     11.90","E","      6.46","E"
"UKE00105866","1997","52.1389","-4.5717","133.0","ABERPORTH, UK","     10.0","","      10.0","E","       161","E","        95","E","         3","E","        0","","         0","E","        17","E","         1","E","        17","E","         0","E","   -4.0","E,0102, ","     0"," ,E,1231,+","  35.4"," ,E,1117, ","   28.2","E,0809, ","-0.3","E,1205","","","","","0.0","E,0203","-2.9","E,0109","","","","","","","    2977.3","3","    2977.3","E","    891.6"," ,E","     10.49","E","     13.26","E","      7.71","E"
"UKE00105866","1998","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.8","","       0.8","E","       196","E","       110","E","         2","E","        0","","         0","E","        16","E","         0","E","         4","E","         0","E","   -1.9","E,1206, ","     0"," ,E,1231,+","  26.0"," ,E,1102, ","   25.8","E,0808, ","-1.4","E,1203","","","","","-0.2","E,0412","","","","","","","","","    2703.8","8","    2703.8","E","    970.4"," ,E","     10.26","E","     12.75","E","      7.75","E"
"UKE00105866","1999","52.1389","-4.5717","133.0","ABERPORTH, UK","      4.3","","       4.3","E","       192","E","       110","E","         1","E","        0","","         0","E","        12","E","         0","E","        18","E","         0","E","   -1.9","E,1220, ","    20"," ,E,0210, ","  45.4"," ,E,0804, ","   27.0","E,0708, ","-1.0","E,1121","","","","","-0.5","E,0210","","","","","","","","","    2798.3","3","    2798.3","E","    954.5"," ,E","     10.46","E","     13.13","E","      7.79","E"
"UKE00105866","2000","52.1389","-4.5717","133.0","ABERPORTH, UK","      4.4","","       4.4","E","       216","E","       124","E","         2","E","        3","","         0","E","         9","E","         0","E","        12","E","         0","E","   -5.5","E,1230, ","    60"," ,E,1228, ","  39.4"," ,E,1029, ","   27.6","E,0617, ","-2.1","E,1227","-3.2","E,1229","-5.5","E,1230","-0.1","E,0220","","","","","","","","","    2841.1","1","    2841.1","E","   1110.6"," ,E","      9.99","E","     12.65","E","      7.32","E"
"UKE00105866","2001","52.1389","-4.5717","133.0","ABERPORTH, UK","      1.9","","       1.9","E","       180","E","        98","E","         2","E","","","         0","E","        22","E","         0","E","        10","E","         0","E","   -3.4","E,0303, ","","","  42.4"," ,E,0703, ","   27.5","E,0625, ","-1.5","E,1215","-2.4","E,1231","","","-2.0","E,0319","-2.2","E,0305","","","","","","","    3035.6","6","    3035.6","E","    899.4"," ,E","      9.85","E","     12.50","E","      7.19","E"
"UKE00105866","2002","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.0","","       0.0","E","       200","E","       118","E","         4","E","","","         0","E","         6","E","         0","E","         4","E","         0","E","   -2.7","E,0101, ","","","  44.4"," ,E,0517, ","   23.3","E,0515, ","","","","","","","-0.6","E,0216","-2.7","E,0101","","","","","","","    2810.0","0","    2810.0","E","   1054.4"," ,E","     10.35","E","     12.94","E","      7.76","E"
"UKE00105866","2003","52.1389","-4.5717","133.0","ABERPORTH, UK","     17.7","","      17.7","E","       158","E","        89","E","         1","E","","","         0","E","        20","E","         0","E","        24","E","         0","E","   -4.7","E,0217, ","","","  33.2"," ,E,0724, ","   29.8","E,0804, ","-3.4","E,1208","-3.4","E,1208","","","0.0","E,0220","-3.1","E,0218","-4.7","E,0217","","","","","    2801.5","5","    2801.5","E","    708.3"," ,E","     10.41","E","     13.38","E","      7.42","E"
"UKE00105866","2004","52.1389","-4.5717","133.0","ABERPORTH, UK","      4.2","","       4.2","E","       166","E","        95","E","         3","E","","","         0","E","         8","E","         0","E","        13","E","         0","E","   -2.8","E,0302, ","","","  34.6"," ,E,0811, ","   26.1","E,0806, ","-1.3","E,1220","","","","","-1.1","E,0311","-2.8","E,0302","","","","","","","    2870.5","5","    2870.5","E","    893.5"," ,E","     10.31","E","     12.81","E","      7.80","E"
"UKE00105866","2005","52.1389","-4.5717","133.0","ABERPORTH, UK","     10.3","","      10.3","E","       184","E","        87","E","         3","E","","","         0","E","        13","E","         0","E","        16","E","         0","E","   -4.0","E,1229, ","","","  74.6"," ,E,1011, ","   25.3","E,0618, ","0.0","E,1117","-2.2","E,1228","","","-0.4","E,0314","-2.6","E,0228","","","","","","","    2787.1","1","    2787.1","E","    822.8"," ,E","     10.34","E","     12.94","E","      7.74","E"
"UKE00105866","2006","52.1389","-4.5717","133.0","ABERPORTH, UK","     13.0","","      13.0","E","       178","E","       103","E","         1","E","","","         0","E","        21","E","         0","E","        20","E","         0","E","   -3.1","E,0304, ","","","  28.4"," ,E,1202, ","   28.4","E,0717, ","-1.3","E,1223","","","","","-0.8","E,0323","-3.1","E,0304","","","","","","","    2898.6","6","    2898.6","E","    859.6"," ,E","     10.41","E","     13.02","E","      7.80","E"
"UKE00105866","2007","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.4","","       0.4","E","       178","E","       107","E","         1","E","","","         0","E","        10","E","         0","E","         4","E","         0","E","   -3.5","E,0207, ","","","  28.4"," ,E,0923, ","   22.1","E,0501,+","-0.9","E,1124","-2.2","E,1217","","","-2.7","E,0208","-2.7","E,0208","","","","","","","    2588.1","1","    2588.1","E","    892.4"," ,E","     10.53","E","     13.01","E","      8.05","E"
