"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105880","2000","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     23.2","","      23.2","E","       185","E","       116","E","         2","E","         0","E","         3","E","         0","E","        31","E","         0","E","   -2.8","E,0126, ","  41.0"," ,E,0723, ","   30.8","E,0824, ","","","","","","","","","-0.5","E,0128","-2.6","E,0127","","","","","","","    2291.5","5","    2291.5","E","   1014.2"," ,E","     11.81","E","     14.46","E","      9.16","E"
"UKE00105880","2001","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     46.0","","      46.0","E","       169","E","        96","E","         3","E","         0","E","         7","E","         0","E","        37","E","         0","E","   -2.3","E,0302, ","  35.6"," ,E,1022, ","   30.5","E,0624, ","-0.4","E,1219","","","","","","","0.0","E,0305","-2.3","E,0302","","","","","","","    2316.3","3","    2316.3","E","    945.2"," ,E","     11.76","E","     14.59","E","      8.93","E"
"UKE00105880","2002","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","      5.4","","       5.4","E","       175","E","        99","E","         3","E","         0","E","         4","E","         0","E","        23","E","         0","E","   -1.0","E,1210, ","  40.4"," ,E,1016, ","   26.4","E,0515, ","-1.0","E,1210","","","","","","","-0.6","E,0101","","","","","","","","","    2209.9","9","    2209.9","E","    973.8"," ,E","     12.13","E","     14.75","E","      9.51","E"
"UKE00105880","2003","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     86.5","","      86.5","E","       141","E","        83","E","         5","E","         0","E","        15","E","         0","E","        63","E","         2","E","   -3.9","E,0108, ","  49.1"," ,E,1130, ","   34.8","E,0804, ","-1.0","E,1208","","","","","","","-0.3","E,0220","-2.9","E,0218","","","","","","","    2224.7","7","    2224.7","E","    798.7"," ,E","     12.09","E","     15.26","E","      8.92","E"
"UKE00105880","2004","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     33.9","","      33.9","E","       171","E","        93","E","         2","E","         0","E","         8","E","         0","E","        35","E","         0","E","   -2.8","E,0301, ","  51.9"," ,E,0707, ","   28.6","E,0731, ","-0.1","E,1220","","","","","","","-2.1","E,0311","-2.8","E,0301","","","","","","","    2327.1","1","    2327.1","E","    880.6"," ,E","     11.74","E","     14.48","E","      9.00","E"
"UKE00105880","2005","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     42.7","","      42.7","E","       160","E","        88","E","         1","E","         0","E","         9","E","         0","E","        43","E","         0","E","   -4.6","E,0228, ","  42.5"," ,E,0726, ","   29.7","E,0628, ","-1.9","E,1229","","","","","","","-1.0","E,0304","-4.6","E,0228","-4.6","E,0228","","","","","    2351.9","9","    2351.9","E","    735.6"," ,E","     11.78","E","     14.57","E","      8.98","E"
"UKE00105880","2006","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     75.4","","      75.4","E","       156","E","        85","E","         0","E","         0","E","        10","E","         0","E","        49","E","         1","E","   -2.5","E,0125, ","  25.1"," ,E,0625, ","   32.4","E,0718, ","","","","","","","","","-0.2","E,0302","-2.5","E,0125","","","","","","","    2446.8","8","    2446.8","E","    751.6"," ,E","     12.00","E","     14.75","E","      9.25","E"
"UKE00105880","2007","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","      7.2","","       7.2","E","       164","E","       104","E","         1","E","         0","E","         6","E","         0","E","        16","E","         0","E","   -2.8","E,1219, ","  30.7"," ,E,0213, ","   26.0","E,0805, ","-1.5","E,1216","-2.8","E,1219","","","","","","","","","","","","","","","    2029.4","4","    2029.4","E","    882.2"," ,E","     11.97","E","     14.64","E","      9.31","E"
"UKE00105880","2008","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     16.7","","      16.7","E","       181","E","       108","E","         3","E","         0","E","         6","E","         0","E","        21","E","         0","E","   -2.1","E,1229, ","  71.2"," ,E,0803, ","   28.2","E,0724, ","-1.0","E,1228","","","","","","","-0.4","E,0218","","","","","","","","","    2442.5","5","    2442.5","E","   1042.2"," ,E","     11.52","E","     14.20","E","      8.84","E"
"UKE00105880","2009","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     16.6","","      16.6","E","       165","E","        99","E","         0","E","         0","E","        18","E","         0","E","        32","E","         0","E","   -5.2","E,0104, ","  24.8"," ,E,0209, ","   29.0","E,0630, ","-0.2","E,1214","","","","","","","-0.4","E,0215","-4.5","E,0110","-4.5","E,0110","","","","","    2642.6","6","    2642.6","E","    862.8"," ,E","     11.49","E","     14.22","E","      8.76","E"
