"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105927","1993","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      2.0","","       2.0","E","         0","E","        63","E","         2","E","        39","E","         0","E","   -9.5","E,0103, ","   26.3","E,0702, ","-0.1","E,1015","-2.4","E,1016","-6.9","E,1122","-6.9","E,1122","","","-0.1","E,0410","-4.1","E,0327","-4.8","E,0228","-8.4","E,0104","-9.5","E,0103","    3124.9","9","    3124.9","E","      9.37","E","     13.61","E","      5.12","E"
"UKE00105927","1994","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     28.2","","      28.2","E","         0","E","        47","E","         1","E","        54","E","         0","E","   -6.9","E,1224, ","   30.0","E,0723,+","-1.1","E,1004","-5.9","E,1215","-5.9","E,1215","-6.9","E,1224","","","-0.8","E,0412","-3.1","E,0222","-5.8","E,0215","","","","","    3301.7","7","    3301.7","E","     10.19","E","     14.49","E","      5.89","E"
"UKE00105927","1995","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     96.6","","      96.6","E","         0","E","        61","E","         2","E","        78","E","         1","E","   -8.9","E,1229, ","   32.4","E,0731, ","-1.2","E,1104","-5.0","E,1106","-5.0","E,1106","-6.7","E,1226","-8.9","E,1229","-0.2","E,0515","-4.5","E,0421","-4.5","E,0421","-7.0","E,0103","","","    2788.0","0","    2788.0","E","     10.48","E","     15.24","E","      5.71","E"
"UKE00105927","1996","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     10.8","","      10.8","E","         0","E","        81","E","         3","E","        54","E","         0","E","   -7.0","E,0205, ","   29.5","E,0721,+","0.0","E,1017","-2.4","E,1108","-5.2","E,1119","","","","","-1.5","E,0511","-5.0","E,0404","-5.0","E,0404","-7.0","E,0205","","","    3091.0","0","    3091.0","E","      8.97","E","     13.47","E","      4.48","E"
"UKE00105927","1997","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     35.7","","      35.7","E","         0","E","        75","E","         4","E","        67","E","         0","E","   -8.4","E,0102, ","   29.7","E,0809, ","-0.3","E,1022","-3.0","E,1025","-6.0","E,1029","","","","","-3.2","E,0507","-3.2","E,0507","-5.2","E,0203","-8.1","E,0103","","","    3193.1","1","    3193.1","E","     10.14","E","     15.06","E","      5.22","E"
"UKE00105927","1998","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      8.7","","       8.7","E","         0","E","        57","E","         0","E","        56","E","         0","E","   -6.5","E,0202, ","   29.8","E,0809, ","-2.3","E,1018","-2.3","E,1018","-6.4","E,1206","","","","","-0.4","E,0504","-2.8","E,0414","-6.5","E,0202","","","","","    2894.4","4","    2894.4","E","      9.97","E","     14.58","E","      5.35","E"
"UKE00105927","1999","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     23.3","","      23.3","E","         0","E","        42","E","         0","E","        66","E","         0","E","   -9.9","E,1220, ","   30.4","E,0731, ","-1.5","E,1006","-4.4","E,1219","-4.4","E,1219","-9.9","E,1220","-9.9","E,1220","-1.5","E,0419","-3.4","E,0415","-5.8","E,0214","","","","","    2906.1","1","    2906.1","E","     10.43","E","     15.02","E","      5.84","E"
"UKE00105927","2000","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      6.3","","       6.3","E","         0","E","        47","E","         0","E","        62","E","         0","E","   -7.7","E,1231, ","   29.0","E,0617, ","-0.4","E,1104","-2.9","E,1115","-4.6","E,1228","-7.7","E,1231","","","-1.1","E,0416","-2.6","E,0226","-5.5","E,0128","-7.0","E,0127","","","    2905.7","7","    2905.7","E","     10.15","E","     14.45","E","      5.85","E"
"UKE00105927","2001","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","","","","","","","","","         0","E","        61","E","         0","E","","","   30.8","E,0625, ","","","","","","","","","","","","","","","","","","","","","    3056.4","4","    3056.4"," ","","","     14.18","E","",""
"UKE00105927","2002","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     15.1","","      15.1","E","         0","E","        35","E","         0","E","        56","E","         0","E","   -8.7","E,0101, ","   30.4","E,0728, ","-3.6","E,1019","-3.6","E,1019","","","","","","","-1.3","E,0416","-3.6","E,0105","-6.5","E,0104","-8.2","E,0102","","","","","","","     10.60","E","     14.89","E","      6.31","E"
"UKE00105927","2003","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     63.1","","      63.1","E","         0","E","        73","E","         1","E","        87","E","         5","E","   -7.5","E,0112, ","   35.1","E,0809, ","-0.8","E,0924","-2.6","E,1027","-5.5","E,1208","","","","","0.0","E,0515","-3.6","E,0412","-4.4","E,0409","-7.0","E,0218","","","    2863.6","6","    2863.6","E","     10.23","E","     15.47","E","      4.98","E"
"UKE00105927","2004","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     28.9","","      28.9","E","         0","E","        60","E","         0","E","        65","E","         0","E","   -6.4","E,0302, ","   29.3","E,0806, ","-0.1","E,1019","-2.2","E,1201","-4.8","E,1227","","","","","-2.1","E,0420","-3.3","E,0310","-6.4","E,0302","","","","","    2951.0","0","    2951.0","E","     10.15","E","     14.81","E","      5.49","E"
"UKE00105927","2005","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     24.5","","      24.5","E","         0","E","        71","E","         0","E","        66","E","         0","E","   -7.4","E,0228, ","   29.2","E,0713,+","-2.4","E,1114","-2.4","E,1114","-5.6","E,1118","","","","","-0.6","E,0515","-2.3","E,0417","-5.8","E,0304","-7.4","E,0228","","","    2992.3","3","    2992.3","E","     10.04","E","     14.80","E","      5.28","E"
"UKE00105927","2006","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     59.1","","      59.1","E","         0","E","        72","E","         2","E","        87","E","         2","E","   -7.0","E,0304, ","   35.4","E,0719, ","-1.8","E,1102","-3.4","E,1103","-4.6","E,1221","","","","","-0.5","E,0502","-2.6","E,0411","-4.6","E,0323","-7.0","E,0304","","","    3083.0","0","    3083.0","E","     10.45","E","     15.18","E","      5.71","E"
"UKE00105927","2007","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      1.3","","       1.3","E","         0","E","        50","E","         0","E","        48","E","         0","E","   -8.4","E,0207, ","   26.6","E,0825,+","-0.2","E,1019","-2.6","E,1113","-5.1","E,1212","","","","","-1.0","E,0408","-4.0","E,0322","-5.5","E,0208","-8.4","E,0207","","","    2619.7","7","    2619.7","E","     10.43","E","     15.05","E","      5.80","E"
"UKE00105927","2008","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      9.9","","       9.9","E","         0","E","        54","E","         0","E","        36","E","         0","E","   -6.2","E,0217, ","   27.9","E,0728, ","-2.3","E,1029","-2.3","E,1029","-5.7","E,1230","","","","","0.0","E,0416","-2.9","E,0409","-5.0","E,0218","","","","","    2969.1","1","    2969.1","E","     10.13","E","     14.43","E","      5.84","E"
"UKE00105927","2009","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     17.9","","      17.9","E","         0","E","        62","E","         2","E","        51","E","         0","E","   -9.1","E,0107, ","   30.4","E,0630, ","-0.2","E,1018","-6.5","E,1216","-6.5","E,1216","","","","","-0.7","E,0429","-2.6","E,0330","-7.6","E,0203","-7.6","E,0203","-9.1","E,0107","    3094.0","0","    3094.0","E","     10.10","E","     14.45","E","      5.75","E"
"UKE00105927","2010","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     19.7","","      19.7","E","         0","E","        95","E","         9","E","        60","E","         0","E","   -9.9","E,1220, ","   28.9","E,0708, ","-2.4","E,1021","-2.4","E,1021","-5.1","E,1128","-7.0","E,1203","-9.9","E,1220","-1.6","E,0513","-2.6","E,0316","-5.2","E,0308","-8.0","E,0107","","","    3123.3","3","    3123.3","E","      9.02","E","     13.43","E","      4.60","E"
"UKE00105927","2011","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      7.6","","       7.6","E","         0","E","        36","E","         0","E","        48","E","         0","E","   -5.4","E,0308, ","   27.9","E,0626, ","-0.2","E,1020","-2.7","E,1128","","","","","","","-0.3","E,0504","-3.5","E,0319","-5.4","E,0308","","","","","    2915.2","2","    2915.2","E","     10.81","E","     15.29","E","      6.33","E"
"UKE00105927","2012","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     19.6","","      19.6","E","         0","E","        60","E","         3","E","        41","E","         0","E","  -11.2","E,0211, ","   29.7","E,0724, ","-1.1","E,1014","-3.8","E,1130","-4.4","E,1206","","","","","0.0","E,0507","-2.8","E,0416","-9.3","E,0212","-9.3","E,0212","-9.3","E,0212","    2849.1","1","    2849.1","E","      9.82","E","     14.09","E","      5.55","E"
"UKE00105927","2013","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     36.5","","      36.5","E","         0","E","        79","E","         4","E","        64","E","         0","E","   -7.8","E,0122, ","   31.3","E,0731, ","-0.3","E,1111","-2.8","E,1120","","","","","","","-0.2","E,0516","-2.9","E,0421","-4.9","E,0407","-7.8","E,0122","","","    3280.4","4","    3280.4","E","      9.54","E","     13.93","E","      5.15","E"
"UKE00105927","2014","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","","","","","         0","E","        42","E","         0","E","        70","E","         0","E","   -4.0","E,0112, ","   28.1","E,0722, ","-2.1","E,1106","-2.8","E,1206","","","","","","","-0.5","E,0503","-3.4","E,0324","","","","","","","    2687.8","8","    2687.8","E","     10.93","E","     15.49","E","      6.38","E"
"UKE00105927","2015","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     13.5","","      13.5","E","         0","E","        42","E","         0","E","        42","E","         0","E","   -6.9","E,0123, ","   31.4","E,0630, ","-3.5","E,1122","-3.5","E,1122","","","","","","","-0.3","E,0427","-2.4","E,0323","-4.7","E,0202","-6.9","E,0123","","","","","","","     10.44","E","     14.82","E","      6.06","E"
